Game ID, Expected payoff of player1 from approx, Expected payoff of player1 real, epsilon player1, Expected payoff of player2 from approx, Expected payoff of player2 real, epsilon player2, player_1_strategy, player_2_strategy
96, 0.5, 0.785714, 0.285714, 0.55, 1.0, 0.45, "[0.5, 0.5]", "[0.0, 0.5, 0.0, 0.5]"
97, 0.697368, 0.947368, 0.249999, 0.43421, 0.894737, 0.460526, "[0.5, 0.5, 0.0, 0.0, 0.0, 0.0]", "[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
98, 0.697368, 0.837569, 0.1402, 0.43421, 0.610288, 0.176077, "[0.5, 0.5, 0.0, 0.0, 0.0, 0.0]", "[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
99, 0.697368, 0.701503, 0.004135, 0.43421, 0.72327, 0.289059, "[0.5, 0.5, 0.0, 0.0, 0.0, 0.0]", "[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
100, 0.631579, 0.526316, -0.105263, 0.75, 0.5, -0.25, "[0.0, 1.0, 0.0]", "[0.0, 0.0, 0.5, 0.5, 0.0]"
101, 0.513158, 0.542936, 0.029778, 0.75, 0.802632, 0.052632, "[0.5, 0.0, 0.5, 0.0, 0.0]", "[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
102, 0.526316, 0.736842, 0.210526, 0.605263, 0.842105, 0.236842, "[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
103, 0.526316, 1.0, 0.473684, 0.605263, 0.842105, 0.236842, "[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
104, 0.526316, 1.0, 0.473684, 0.605263, 0.736842, 0.131579, "[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
105, 0.526316, 1.0, 0.473684, 0.605263, 0.736842, 0.131579, "[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
106, 0.526316, 0.909774, 0.383458, 0.605263, 0.763158, 0.157895, "[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
107, 0.526316, 0.691075, 0.164759, 0.605263, 0.869969, 0.264706, "[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
108, 0.526316, 0.735618, 0.209302, 0.605263, 0.77164, 0.166377, "[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
109, 0.526316, 0.584586, 0.05827, 0.605263, 0.720977, 0.115714, "[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
110, 0.526316, 0.752028, 0.225712, 0.605263, 0.72966, 0.124397, "[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
111, 0.894737, 0.789474, -0.105263, 0.868421, 1.0, 0.131579, "[0.0, 1.0]", "[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
112, 0.722222, 0.444444, -0.277778, 0.75, 1.0, 0.25, "[1.0, 0.0]", "[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
113, 0.722222, 0.246032, -0.47619, 0.75, 0.84375, 0.09375, "[1.0, 0.0]", "[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
114, 0.722222, 0.25, -0.472222, 0.75, 0.875, 0.125, "[1.0, 0.0]", "[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
115, 0.388889, 0.743827, 0.354938, 0.43421, 0.873684, 0.439474, "[0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
116, 0.638889, 0.888889, 0.25, 0.342105, 0.947368, 0.605263, "[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.5, 0.5]"
117, 0.526316, 1.0, 0.473684, 1.0, 1.0, 0.0, "[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
118, 0.789473, 0.947368, 0.157895, 0.657894, 0.842105, 0.18421, "[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.5, 0.0, 0.5, 0.0, 0.0, 0.0]"
119, 0.789473, 1.0, 0.210527, 0.657894, 1.0, 0.342105, "[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.5, 0.0, 0.5, 0.0, 0.0, 0.0]"
120, 0.789473, 0.833684, 0.044211, 0.657894, 0.690284, 0.032389, "[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.5, 0.0, 0.5, 0.0, 0.0, 0.0]"
121, 0.56579, 1.0, 0.43421, 0.631579, 0.894737, 0.263158, "[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0]"
122, 0.56579, 1.0, 0.43421, 0.631579, 0.947368, 0.315789, "[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0]"
123, 0.56579, 0.953216, 0.387427, 0.631579, 0.809211, 0.177632, "[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0]"
124, 0.56579, 0.789474, 0.223684, 0.631579, 0.676691, 0.045112, "[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0]"
125, 0.56579, 0.849624, 0.283835, 0.631579, 0.736842, 0.105263, "[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0]"
126, 0.657895, 0.842105, 0.18421, 0.552632, 0.947368, 0.394737, "[0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
127, 0.657895, 1.0, 0.342105, 0.552632, 0.947368, 0.394737, "[0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
128, 0.657895, 0.894737, 0.236842, 0.552632, 0.947368, 0.394737, "[0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
129, 0.657895, 0.719299, 0.061404, 0.552632, 0.929824, 0.377193, "[0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
